seg method,data type,object name,IoU,F1,FP rate
BackFlow,Data,YcbMustardBottle,0.9077314917765725,0.9316024776303524,0.0762352914931668
BackFlow,Data,YcbGelatinBox,0.8833259139584446,0.9348638552949258,0.11564000984671421
BackFlow,Data,YcbPottedMeatCan,0.8984103927879268,0.9451408907186686,0.0976979046451404
BackFlow,Data,YcbTomatoSoupCan,0.8718551228771384,0.9297880172949718,0.12441875367959675
BackFlow,Data,YcbCrackerBox,0.9617426054000473,0.9785364851200626,0.03242153423358247
BackFlow,Data,YcbSugarBox,0.9308388044214269,0.9633134914543439,0.06240502651711708
BackFlow,Data,YcbBanana,0.8181153524744857,0.8894907034934754,0.08539145873826318
BackFlow,Data,YcbTennisBall,0.8887149984162256,0.9393011830771825,0.11093231239101004
BackFlow,Data_stuck,YcbMustardBottle,0.9044131883240136,0.9291623109276548,0.09073758774771591
BackFlow,Data_stuck,YcbGelatinBox,0.8803555699207704,0.933940542667881,0.11889434145774458
BackFlow,Data_stuck,YcbPottedMeatCan,0.9010105194987,0.9467034111820686,0.09402503766236545
BackFlow,Data_stuck,YcbTomatoSoupCan,0.8748981185692954,0.9319506008127225,0.12086361607615521
BackFlow,Data_stuck,YcbCrackerBox,0.9842646970975397,0.991988360340945,0.015465548527032316
BackFlow,Data_stuck,YcbSugarBox,0.9285909617975215,0.9622911251913626,0.06536564525559864
BackFlow,Data_stuck,YcbBanana,0.8113421882779315,0.8865087084628018,0.08953915863943775
BackFlow,Data_stuck,YcbTennisBall,0.8917896636929179,0.940859932780748,0.10778971148354759
OSVOS,Data,YcbMustardBottle,0.9358234027523532,0.9577999852556285,0.04415084630597689
OSVOS,Data,YcbGelatinBox,0.8556416004405867,0.9217915503634312,0.13317979917140418
OSVOS,Data,YcbPottedMeatCan,0.8827934759961577,0.9358440593026217,0.0979505228390735
OSVOS,Data,YcbTomatoSoupCan,0.8752187172738503,0.9328035656759918,0.09603052809465949
OSVOS,Data,YcbCrackerBox,0.967370195718557,0.9794758240132939,0.012762755771029472
OSVOS,Data,YcbSugarBox,0.9046950061120607,0.9481506539471483,0.051594584157204214
OSVOS,Data,YcbBanana,0.9003681208598114,0.9472946310996295,0.09918179028233053
OSVOS,Data,YcbTennisBall,0.9068901397012887,0.9508363198695237,0.08916078035367622
OSVOS,Data_stuck,YcbMustardBottle,0.9558766696105934,0.9738211936631392,0.03193731768280034
OSVOS,Data_stuck,YcbGelatinBox,0.8824626707276467,0.9371782447494026,0.09826615047729785
OSVOS,Data_stuck,YcbPottedMeatCan,0.8925175721880949,0.9398698378097422,0.07726012606431018
OSVOS,Data_stuck,YcbTomatoSoupCan,0.8993311806250714,0.9461140312048955,0.07150918792302179
OSVOS,Data_stuck,YcbCrackerBox,0.9806326711118709,0.9901751225924423,0.01506676346610335
OSVOS,Data_stuck,YcbSugarBox,0.9056090777244589,0.9487655392810262,0.048143442636430424
OSVOS,Data_stuck,YcbBanana,0.9243669823776128,0.9604523908798087,0.0742161252172043
OSVOS,Data_stuck,YcbTennisBall,0.8868932007074057,0.939426520695547,0.11114269356998979
